 ,Unnamed: 1,ABL,AGC,ALW,BAT,CFAO,EIC,FML,GBL,GCB,GGBL,HFC,Unnamed: 13,MGL,MLC,MOGL,PAF,PBC,PZ,SCB,SPPC,SSB,Unnamed: 23,UNIL,UTC,CMLT,SWL,CPC,CLYD,BOPP,EIC.1,CAL,AYRTN,EBG,ETI,TBL,TBL BONUS,spl,GWEB,Date,ABL.1,AGC.1,ALW.1,Unnamed: 44,CFAO.1,EIC.2,FML.1,GBL.1,GCB.1,GGBL.1,HFC.1,Unnamed: 52,Unnamed: 53,MLC.1,MOGL.1,PAF.1,PBC.1,PZ.1,SCB.1,SPPC.1,SSB.1,TRANSOL,UNIL.1,UTC.1,CMLT.1,SWL.1,CPC.1,CLYD.1,BOPP.1,EIC.3,CAL.1,AYRTN.1,Unnamed: 73,EBG.1,ETI.1,TBL.1,TBL BONUS.1,spl.1,GWEB.1,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,UT,SIC,GSR,GOIL
1.0,1990-11-12,135.0,-,-,750.0,0,130.0,25.0,,-,83.0,-,,-,-,-,-,,105.0,200.0,-,-,,1800.0,28.0,,,,,,130.0,,,,,,,,,1990-11-12,0.0135,-,-,,0,0.013,0.0025,,-,0.0083,-,,-,-,-,-,,0.0105,0.02,-,-,,0.18,28.0,,,,,,0.013,,,,,,,,,,,,,,,,,
2.0,1990-11-20,135.0,-,-,650.0,0,130.0,25.0,,-,85.0,-,,-,-,-,-,,100.0,200.0,-,-,,1600.0,28.0,,,,,,130.0,,,,,,,,,1990-11-20,0.0135,-,-,,0,0.013,0.0025,,-,0.0085,-,,-,-,-,-,,0.01,0.02,-,-,,0.16,28.0,,,,,,0.013,,,,,,,,,,,,,,,,,
3.0,1990-11-23,137.0,-,-,655.0,0,132.0,25.0,,-,85.0,-,,-,-,-,-,,100.0,200.0,-,-,,1650.0,30.0,,,,,,132.0,,,,,,,,,1990-11-23,0.0137,-,-,,0,0.0132,0.0025,,-,0.0085,-,,-,-,-,-,,0.01,0.02,-,-,,0.165,30.0,,,,,,0.0132,,,,,,,,,,,,,,,,,
4.0,1990-11-27,141.0,-,-,655.0,0,136.0,25.0,,-,86.0,-,,-,-,-,-,,100.0,255.0,-,-,,1655.0,35.0,,,,,,136.0,,,,,,,,,1990-11-27,0.0141,-,-,,0,0.0136,0.0025,,-,0.0086,-,,-,-,-,-,,0.01,0.0255,-,-,,0.1655,35.0,,,,,,0.0136,,,,,,,,,,,,,,,,,
5.0,1990-11-30,145.0,-,-,655.0,-,137.0,25.0,,-,84.0,-,,-,-,-,-,,100.0,255.0,-,-,,1655.0,35.0,,,,,,137.0,,,,,,,,,1990-11-30,0.0145,-,-,,-,0.0137,0.0025,,-,0.0084,-,,-,-,-,-,,0.01,0.0255,-,-,,0.1655,35.0,,,,,,0.0137,,,,,,,,,,,,,,,,,
6.0,1990-12-04,146.0,-,-,650.0,-,137.0,25.0,,-,84.0,-,,-,-,-,-,,100.0,255.0,-,-,,1655.0,33.0,,,,,,137.0,,,,,,,,,1990-12-04,0.0146,-,-,,-,0.0137,0.0025,,-,0.0084,-,,-,-,-,-,,0.01,0.0255,-,-,,0.1655,33.0,,,,,,0.0137,,,,,,,,,,,,,,,,,
7.0,1990-12-07,152.0,-,-,645.0,-,139.0,24.0,,-,75.0,-,,-,-,-,-,,97.0,268.0,-,-,,1650.0,33.0,,,,,,139.0,,,,,,,,,1990-12-07,0.0152,-,-,,-,0.0139,0.0024,,-,0.0075,-,,-,-,-,-,,0.0097,0.0268,-,-,,0.165,33.0,,,,,,0.0139,,,,,,,,,,,,,,,,,
8.0,1990-12-11,155.0,-,-,648.0,-,144.0,24.0,,-,70.0,-,,-,-,-,-,,97.0,268.0,-,-,,1650.0,33.0,,,,,,144.0,,,,,,,,,1990-12-11,0.0155,-,-,,-,0.0144,0.0024,,-,0.007,-,,-,-,-,-,,0.0097,0.0268,-,-,,0.165,33.0,,,,,,0.0144,,,,,,,,,,,,,,,,,
9.0,1990-12-14,155.0,-,-,645.0,-,146.0,22.0,,-,70.0,-,,-,-,-,-,,90.0,268.0,-,-,,1645.0,28.0,,,,,,146.0,,,,,,,,,1990-12-14,0.0155,-,-,,-,0.0146,0.0022,,-,0.007,-,,-,-,-,-,,0.009,0.0268,-,-,,0.1645,28.0,,,,,,0.0146,,,,,,,,,,,,,,,,,
10.0,1990-12-18,158.0,-,-,645.0,-,152.0,22.0,,-,61.0,-,,-,-,-,-,,91.0,268.0,-,-,,1650.0,24.0,,,,,,152.0,,,,,,,,,1990-12-18,0.0158,-,-,,-,0.0152,0.0022,,-,0.0061,-,,-,-,-,-,,0.0091,0.0268,-,-,,0.165,24.0,,,,,,0.0152,,,,,,,,,,,,,,,,,
