Date,ABL,AGC,AGA,AADs,ALW,AYRTN,BAT,BOPP,CAL,CFAO,CLYD,CPC,EBG,EIC,ETI,FML,GBL,GCB,GGBL,GOIL,GSR,GWEB,HFC,KBL,MGL,MLC,MOGL,PKL,PBC,PZ,SCB,SIC,SPL,SPPC,SSB,SWL,TBL,TRANSOL,UNIL,UT,CMLT
2010-01-04,0.1,,30,0.3,0.44,0.13,,0.48,0.2,0.03,0.08,0.03,2.8,2.2,0.15,5.55,,0.74,1.35,0.17,3.1,0.05,0.62,,,0.2,6.8,0.07,0.19,1.1,30.0,0.26,0.05,0.1,0.45,0.03,1.33,0.09,3.4,0.21,0.16
2010-01-05,0.1,,30,0.3,0.44,0.13,,0.48,0.2,0.03,0.08,0.03,2.8,2.2,0.15,5.55,,0.74,1.35,0.17,3.1,0.05,0.62,,,0.2,6.8,0.07,0.19,1.1,30.0,0.26,0.05,0.1,0.45,0.03,1.33,0.09,3.4,0.21,0.16
2010-01-06,0.1,,30,0.3,0.44,0.13,,0.48,0.2,0.03,0.08,0.03,2.8,2.2,0.15,5.55,,0.74,1.35,0.17,3.1,0.05,0.62,,,0.2,6.8,0.07,0.19,1.1,30.0,0.27,0.05,0.1,0.45,0.03,1.33,0.09,3.4,0.21,0.16
2010-01-07,0.1,,30,0.3,0.44,0.13,,0.5,0.2,0.03,0.08,0.03,2.8,2.2,0.15,5.75,,0.74,1.35,0.17,3.1,0.05,0.62,,,0.2,6.8,0.07,0.19,1.1,30.0,0.27,0.05,0.1,0.45,0.03,1.33,0.09,3.4,0.21,0.16
2010-01-08,0.1,,30,0.3,0.44,0.13,,0.5,0.2,0.03,0.08,0.03,2.8,2.2,0.15,5.75,,0.74,1.35,0.17,3.1,0.05,0.62,,,0.2,6.8,0.07,0.19,1.1,30.0,0.27,0.05,0.1,0.45,0.03,1.33,0.09,3.4,0.21,0.16
2010-01-11,0.1,,30,0.3,0.44,0.13,,0.5,0.2,0.03,0.08,0.03,2.78,2.2,0.15,5.75,,0.74,1.35,0.17,3.1,0.05,0.62,,,0.2,6.8,0.07,0.19,1.1,30.0,0.27,0.05,0.1,0.45,0.03,1.33,0.09,3.4,0.21,0.16
2010-01-12,0.1,,30,0.3,0.44,0.13,,0.5,0.2,0.03,0.08,0.03,2.78,2.2,0.15,5.75,,0.74,1.35,0.17,3.1,0.05,0.62,,,0.2,6.8,0.07,0.19,1.1,30.0,0.27,0.05,0.1,0.45,0.03,1.33,0.09,3.4,0.21,0.16
2010-01-13,0.1,,30,0.3,0.44,0.13,,0.5,0.2,0.03,0.08,0.03,2.78,2.2,0.15,5.75,,0.74,1.35,0.17,3.1,0.05,0.62,,,0.2,6.8,0.07,0.19,1.1,30.0,0.28,0.05,0.1,0.45,0.03,1.33,0.09,3.4,0.21,0.16
2010-01-14,0.1,,30,0.3,0.44,0.13,,0.5,0.2,0.03,0.08,0.03,2.78,2.2,0.14,5.75,,0.74,1.35,0.18,3.1,0.05,0.62,,,0.2,6.8,0.07,0.19,1.1,30.0,0.29,0.05,0.1,0.45,0.03,1.33,0.09,3.4,0.21,0.16
2010-01-15,0.1,,30,0.3,0.44,0.13,,0.5,0.2,0.03,0.08,0.03,2.78,2.2,0.14,5.75,,0.74,1.35,0.2,3.1,0.05,0.62,,,0.2,6.8,0.07,0.19,1.1,30.0,0.3,0.05,0.1,0.45,0.03,1.33,0.09,3.4,0.21,0.16
2010-01-18,0.1,,30,0.3,0.44,0.13,,0.51,0.19,0.03,0.08,0.03,2.78,2.2,0.14,5.75,,0.73,1.35,0.2,3.1,0.05,0.62,,,0.2,6.8,0.07,0.19,1.1,30.0,0.3,0.05,0.1,0.45,0.03,1.33,0.09,3.4,0.21,0.16
2010-01-19,0.1,,30,0.3,0.44,0.13,,0.51,0.19,0.03,0.08,0.03,2.78,2.2,0.14,5.75,,0.73,1.35,0.2,3.0,0.05,0.62,,,0.2,6.8,0.07,0.19,1.1,30.0,0.3,0.05,0.1,0.45,0.03,1.33,0.09,3.4,0.21,0.16
2010-01-20,0.1,,30,0.3,0.44,0.13,,0.51,0.19,0.03,0.08,0.03,2.78,2.2,0.14,5.75,,0.73,1.35,0.2,3.0,0.05,0.62,,,0.2,6.8,0.07,0.19,1.1,30.0,0.3,0.05,0.1,0.45,0.03,1.33,0.09,3.4,0.21,0.16
