SWL,ALW,GCB,SCB,GGBL,MLC,PBC,UNIL,HFC,CMLT,FML
264.0,1412.5,547.0,200.0,83.0,52.0,515.0,1800.0,103.0,413.3333333333333,25.0
264.0,1412.5,547.0,200.0,85.0,52.0,515.0,1625.0,103.0,413.3333333333333,25.0
264.0,1412.5,547.0,200.0,85.0,52.0,515.0,1625.0,103.0,413.3333333333333,25.0
264.0,1412.5,547.0,255.0,85.0,52.0,515.0,1655.0,103.0,413.3333333333333,25.0
264.0,1412.5,547.0,261.5,79.5,52.0,515.0,1652.5,103.0,413.3333333333333,24.5
264.0,1412.5,547.0,268.0,70.0,52.0,515.0,1647.5,103.0,413.3333333333333,23.0
264.0,1412.5,547.0,268.0,55.5,52.0,515.0,1645.0,103.0,413.3333333333333,22.0
264.0,1412.5,547.0,268.0,50.0,52.0,515.0,1645.0,103.0,413.3333333333333,22.0
264.0,1412.5,547.0,268.0,47.0,52.0,515.0,1647.0,103.0,413.3333333333333,19.0
264.0,1412.5,547.0,288.0,40.5,52.0,515.0,1644.0,103.0,413.3333333333333,17.5
264.0,1412.5,547.0,317.5,33.0,52.0,515.0,1622.0,103.0,413.3333333333333,16.0
264.0,1412.5,547.0,323.0,29.0,52.0,515.0,1600.0,103.0,413.3333333333333,17.0
264.0,1412.5,547.0,329.0,27.0,52.0,515.0,1600.0,103.0,413.3333333333333,17.5
264.0,1412.5,547.0,333.5,29.0,52.0,515.0,1610.0,103.0,413.3333333333333,17.0
264.0,1412.5,547.0,337.5,29.5,52.0,515.0,1592.5,103.0,413.3333333333333,17.0
264.0,1412.5,547.0,339.0,27.5,52.0,515.0,1585.0,103.0,413.3333333333333,17.5
264.0,1412.5,547.0,340.0,26.0,52.0,515.0,1585.0,103.0,413.3333333333333,19.0
264.0,1412.5,547.0,341.0,24.0,52.0,515.0,1500.0,103.0,413.3333333333333,19.0
264.0,1412.5,547.0,341.0,22.5,52.0,515.0,1500.0,103.0,413.3333333333333,17.5
264.0,1412.5,547.0,341.0,22.0,52.0,515.0,1500.0,103.0,413.3333333333333,17.0
264.0,1412.5,547.0,341.0,22.0,52.0,515.0,1450.0,103.0,413.3333333333333,17.0
264.0,1412.5,547.0,342.0,22.0,52.0,515.0,1450.0,103.0,413.3333333333333,17.0
264.0,1412.5,547.0,328.5,22.0,52.0,515.0,1450.0,103.0,413.3333333333333,16.5
264.0,1412.5,547.0,315.0,22.0,52.0,515.0,1423.5,103.0,413.3333333333333,15.5
264.0,1412.5,547.0,316.0,22.5,52.0,515.0,1397.0,103.0,413.3333333333333,16.0
264.0,1412.5,547.0,317.0,23.0,52.0,515.0,1397.0,103.0,413.3333333333333,16.0
264.0,1412.5,547.0,317.0,22.0,52.0,515.0,1397.0,103.0,413.3333333333333,15.0
264.0,1412.5,547.0,316.5,22.0,52.0,515.0,1198.5,103.0,413.3333333333333,15.0
264.0,1412.5,547.0,316.0,22.0,52.0,515.0,1350.0,103.0,413.3333333333333,15.0
264.0,1412.5,547.0,316.0,22.0,52.0,515.0,1350.0,103.0,413.3333333333333,15.0
264.0,1412.5,547.0,317.0,22.0,52.0,515.0,1345.0,103.0,413.3333333333333,15.5
264.0,1412.5,547.0,317.0,22.5,52.0,515.0,1340.0,103.0,413.3333333333333,16.0
264.0,1412.5,547.0,319.0,23.0,52.0,515.0,1340.0,103.0,413.3333333333333,18.0
264.0,1412.5,547.0,319.0,23.0,52.0,515.0,1340.0,103.0,413.3333333333333,18.0
264.0,1412.5,547.0,319.0,23.0,52.0,515.0,1340.0,103.0,413.3333333333333,18.0
264.0,1412.5,547.0,320.0,23.0,52.0,515.0,1339.5,103.0,413.3333333333333,18.0
264.0,1412.5,547.0,321.0,22.0,52.0,515.0,1339.0,103.0,413.3333333333333,18.0
264.0,1412.5,547.0,323.0,22.0,52.0,515.0,1339.0,103.0,413.3333333333333,17.5
264.0,1412.5,547.0,323.0,22.0,52.0,515.0,1339.0,103.0,413.3333333333333,18.0
264.0,1412.5,547.0,324.0,22.0,52.0,515.0,1339.0,103.0,413.3333333333333,18.0
264.0,1412.5,547.0,326.0,22.0,52.0,515.0,1339.0,103.0,413.3333333333333,20.5
264.0,1412.5,547.0,327.0,22.0,52.0,515.0,1339.0,103.0,413.3333333333333,21.5
264.0,1412.5,547.0,330.0,22.0,52.0,515.0,1338.5,103.0,413.3333333333333,23.5
264.0,1412.5,547.0,333.0,22.0,52.0,515.0,1338.0,103.0,413.3333333333333,25.5
264.0,1412.5,547.0,338.0,21.5,52.0,515.0,1338.0,103.0,413.3333333333333,27.5
264.0,1412.5,547.0,338.0,20.0,52.0,515.0,1300.0,103.0,413.3333333333333,29.0
264.0,1412.5,547.0,338.0,21.0,52.0,515.0,1300.0,103.0,413.3333333333333,29.5
264.0,1412.5,547.0,338.0,21.0,52.0,515.0,1300.0,103.0,413.3333333333333,33.0
264.0,1412.5,547.0,340.0,21.0,52.0,515.0,1300.0,103.0,413.3333333333333,42.5
264.0,1412.5,547.0,351.0,21.5,52.0,515.0,1300.0,103.0,413.3333333333333,56.0
264.0,1412.5,547.0,351.0,22.0,52.0,515.0,1267.5,103.0,413.3333333333333,69.5
264.0,1412.5,547.0,363.0,22.0,52.0,515.0,1300.0,103.0,413.3333333333333,77.0
264.0,1412.5,547.0,364.0,22.0,52.0,515.0,1300.0,103.0,413.3333333333333,85.0
264.0,1412.5,547.0,369.0,21.5,52.0,515.0,1275.0,103.0,413.3333333333333,105.0
264.0,1412.5,547.0,380.0,22.0,52.0,515.0,1250.0,103.0,413.3333333333333,117.0
264.0,1412.5,547.0,389.5,22.0,52.0,515.0,1250.0,103.0,413.3333333333333,134.0
264.0,1412.5,547.0,399.0,22.0,52.0,515.0,1250.0,103.0,413.3333333333333,148.5
264.0,1412.5,547.0,409.0,22.5,52.0,515.0,1240.0,103.0,413.3333333333333,153.5
264.0,1412.5,547.0,419.0,23.0,52.0,515.0,1240.0,103.0,413.3333333333333,151.0
