Date,SWL,ALW,GCB,SCB,GGBL,MLC,PBC,UNIL,HFC,CMLT,FML
1990-11-12,,,,200.0,83.0,,,1800.0,,,25.0
1990-11-20,,,,200.0,85.0,,,1600.0,,,25.0
1990-11-23,,,,200.0,85.0,,,1650.0,,,25.0
1990-11-27,,,,255.0,86.0,,,1655.0,,,25.0
1990-11-30,,,,255.0,84.0,,,1655.0,,,25.0
1990-12-04,,,,255.0,84.0,,,1655.0,,,25.0
1990-12-07,,,,268.0,75.0,,,1650.0,,,24.0
1990-12-11,,,,268.0,70.0,,,1650.0,,,24.0
1990-12-14,,,,268.0,70.0,,,1645.0,,,22.0
1990-12-18,,,,268.0,61.0,,,1650.0,,,22.0
1990-12-21,,,,268.0,50.0,,,1640.0,,,22.0
1990-12-28,,,,268.0,50.0,,,1645.0,,,22.0
1991-01-04,,,,268.0,47.0,,,1647.0,,,19.0
1991-01-08,,,,268.0,42.0,,,1644.0,,,18.0
1991-01-11,,,,308.0,39.0,,,1644.0,,,17.0
1991-01-15,,,,315.0,36.0,,,1644.0,,,16.0
1991-01-18,,,,320.0,30.0,,,1600.0,,,16.0
1991-01-22,,,,320.0,30.0,,,1600.0,,,17.0
1991-01-25,,,,326.0,28.0,,,1600.0,,,17.0
1991-01-29,,,,328.0,28.0,,,1600.0,,,17.0
1991-02-01,,,,330.0,26.0,,,1600.0,,,18.0
1991-02-05,,,,332.0,30.0,,,1620.0,,,17.0
1991-02-08,,,,335.0,28.0,,,1600.0,,,17.0
1991-02-12,,,,337.0,29.0,,,1600.0,,,17.0
1991-02-15,,,,338.0,30.0,,,1585.0,,,17.0
1991-02-19,,,,339.0,28.0,,,1585.0,,,17.0
1991-02-22,,,,339.0,27.0,,,1585.0,,,18.0
1991-02-26,,,,339.0,26.0,,,1585.0,,,18.0
1991-03-01,,,,341.0,26.0,,,1585.0,,,20.0
1991-03-05,,,,341.0,25.0,,,1500.0,,,18.0
1991-03-08,,,,341.0,23.0,,,1500.0,,,20.0
1991-03-12,,,,341.0,23.0,,,1500.0,,,18.0
1991-03-15,,,,341.0,22.0,,,1500.0,,,17.0
1991-03-19,,,,341.0,22.0,,,1500.0,,,17.0
1991-03-22,,,,341.0,22.0,,,1500.0,,,17.0
1991-03-26,,,,341.0,22.0,,,1450.0,,,17.0
1991-04-02,,,,342.0,22.0,,,1450.0,,,17.0
1991-04-05,,,,342.0,22.0,,,1450.0,,,17.0
1991-04-09,,,,342.0,22.0,,,1450.0,,,17.0
1991-04-12,,,,315.0,22.0,,,1450.0,,,16.0
1991-04-16,,,,315.0,22.0,,,1450.0,,,16.0
1991-04-19,,,,315.0,22.0,,,1397.0,,,15.0
1991-04-23,,,,315.0,22.0,,,1397.0,,,16.0
1991-04-26,,,,317.0,23.0,,,1397.0,,,16.0
1991-04-30,,,,317.0,23.0,,,1397.0,,,16.0
1991-05-03,,,,317.0,23.0,,,1397.0,,,16.0
1991-05-07,,,,317.0,22.0,,,1397.0,,,15.0
1991-05-10,,,,317.0,22.0,,,1397.0,,,15.0
1991-05-14,,,,317.0,22.0,,,1397.0,,,15.0
1991-05-17,,,,316.0,22.0,,,1000.0,,,15.0
1991-05-21,,,,316.0,22.0,,,1350.0,,,15.0
1991-05-24,,,,316.0,22.0,,,1350.0,,,15.0
1991-05-28,,,,316.0,22.0,,,1350.0,,,15.0
1991-05-31,,,,316.0,22.0,,,1350.0,,,15.0
1991-06-05,,,,317.0,22.0,,,1350.0,,,15.0
1991-06-07,,,,317.0,22.0,,,1340.0,,,16.0
1991-06-11,,,,317.0,22.0,,,1340.0,,,16.0
1991-06-14,,,,317.0,23.0,,,1340.0,,,16.0
1991-06-18,,,,319.0,23.0,,,1340.0,,,18.0
1991-06-21,,,,319.0,23.0,,,1340.0,,,18.0
1991-06-25,,,,319.0,23.0,,,1340.0,,,18.0
1991-06-28,,,,319.0,23.0,,,1340.0,,,18.0
1991-07-02,,,,319.0,23.0,,,1340.0,,,18.0
1991-07-05,,,,319.0,23.0,,,1340.0,,,18.0
1991-07-09,,,,319.0,23.0,,,1340.0,,,18.0
1991-07-12,,,,321.0,23.0,,,1339.0,,,18.0
