DATE,Gexc
05/01/2010,-0.0069687
06/01/2010,0.0069687
07/01/2010,0
08/01/2010,-0.0069687
11/01/2010,-0.0070176
12/01/2010,0
13/01/2010,0
14/01/2010,0
15/01/2010,-0.0070671
19/01/2010,0.0070671
20/01/2010,0
21/01/2010,0
22/01/2010,0
25/01/2010,0
26/01/2010,0.0070176
27/01/2010,0
28/01/2010,0
29/01/2010,0
02/02/2010,0.0069687
03/02/2010,-0.0069687
04/02/2010,0
05/02/2010,0.0069687
08/02/2010,-0.0069687
09/02/2010,0
10/02/2010,0.0069687
11/02/2010,-0.0069687
12/02/2010,0
16/02/2010,0.0069687
17/02/2010,-0.0139863
18/02/2010,0
19/02/2010,0
22/02/2010,0.0070176
23/02/2010,0
24/02/2010,0
25/02/2010,0
01/03/2010,-0.0070176
02/03/2010,0
03/03/2010,0
04/03/2010,0
05/03/2010,0
09/03/2010,0
10/03/2010,-0.0070671
11/03/2010,0
15/03/2010,0.0070671
17/03/2010,0
18/03/2010,0
19/03/2010,0
22/03/2010,-0.0070671
23/03/2010,0
24/03/2010,0
25/03/2010,0.0070671
26/03/2010,0
29/03/2010,-0.0070671
30/03/2010,0.0140847
31/03/2010,-0.0070176
01/04/2010,0.0070176
06/04/2010,-0.0070176
07/04/2010,0
08/04/2010,-0.0070671
12/04/2010,0.0070671
13/04/2010,0
14/04/2010,0
15/04/2010,0
16/04/2010,-0.0070671
19/04/2010,0.0070671
20/04/2010,0
21/04/2010,0
22/04/2010,0
23/04/2010,0
26/04/2010,0
27/04/2010,0
28/04/2010,0
29/04/2010,0
30/04/2010,-0.0070671
04/05/2010,0.0070671
05/05/2010,0
07/05/2010,0
10/05/2010,0
11/05/2010,0
12/05/2010,0
13/05/2010,0
14/05/2010,0
17/05/2010,0
18/05/2010,0
19/05/2010,0
20/05/2010,0.0070176
21/05/2010,0
24/05/2010,0
26/05/2010,0
27/05/2010,0
28/05/2010,0
02/06/2010,0
03/06/2010,0
04/06/2010,-0.0070176
07/06/2010,0
08/06/2010,0.0070176
09/06/2010,0
10/06/2010,0
11/06/2010,0
14/06/2010,0
15/06/2010,0
16/06/2010,0
17/06/2010,0.0069687
18/06/2010,0
21/06/2010,0
22/06/2010,0
23/06/2010,0
24/06/2010,0
25/06/2010,0
28/06/2010,0
29/06/2010,0
30/06/2010,0
02/07/2010,0
06/07/2010,0.0069204
07/07/2010,0
08/07/2010,0
09/07/2010,0
12/07/2010,0
13/07/2010,0.0068729
14/07/2010,0
15/07/2010,0
16/07/2010,0
19/07/2010,0
20/07/2010,-0.0068729
21/07/2010,0.0068729
22/07/2010,0
23/07/2010,0
26/07/2010,-0.0068729
27/07/2010,0
28/07/2010,0
29/07/2010,0
30/07/2010,-0.0069204
02/08/2010,0
03/08/2010,-0.0069687
05/08/2010,0
06/08/2010,0
09/08/2010,0
10/08/2010,-0.0070176
11/08/2010,0.0070176
12/08/2010,0.0069687
16/08/2010,0.0069687
17/08/2010,0
18/08/2010,0
19/08/2010,-0.0069687
20/08/2010,0
23/08/2010,0
24/08/2010,0.0069687
25/08/2010,0
26/08/2010,0
30/08/2010,0
31/08/2010,0
01/09/2010,0
02/09/2010,0
03/09/2010,0
07/09/2010,0
08/09/2010,0
