DATE,Gse
05/01/2010,0
06/01/2010,0.0004663
07/01/2010,0.0011082
08/01/2010,0
11/01/2010,-0.0010958
12/01/2010,0
13/01/2010,0.0004644
14/01/2010,-0.0198641
15/01/2010,0.001483
19/01/2010,-0.0011644
20/01/2010,0
21/01/2010,0.0016747
22/01/2010,0
25/01/2010,0.0207214
26/01/2010,0.0007296
27/01/2010,-0.0008478
28/01/2010,0.0049515
29/01/2010,0.0013199
02/02/2010,-0.0011501
03/02/2010,0.000495
04/02/2010,0.0008698
05/02/2010,0
08/02/2010,0.0006685
09/02/2010,0.0043869
10/02/2010,-0.0150566
11/02/2010,0.0060759
12/02/2010,-0.002408
16/02/2010,0.0029402
17/02/2010,0.0006828
18/02/2010,0.0001268
19/02/2010,0.0008926
22/02/2010,0.0007696
23/02/2010,-0.0005589
24/02/2010,0.0006752
25/02/2010,0.0018606
01/03/2010,0.0030622
02/03/2010,0.0066414
03/03/2010,0.0193567
04/03/2010,0.0006084
05/03/2010,0.0226288
09/03/2010,-0.0158176
10/03/2010,0.0046434
11/03/2010,0.0010929
15/03/2010,0.0014706
17/03/2010,0.0034008
18/03/2010,0.0031452
19/03/2010,-0.0015163
22/03/2010,0.0026846
23/03/2010,-0.0001478
24/03/2010,0.001174
25/03/2010,0.0021267
26/03/2010,0.003684
29/03/2010,0.0012836
30/03/2010,0.0231514
31/03/2010,-0.0021496
01/04/2010,0.0044537
06/04/2010,0
07/04/2010,0.0383911
08/04/2010,-0.0259571
12/04/2010,0.0007143
13/04/2010,0.0035334
14/04/2010,0.0019245
15/04/2010,0.0024519
16/04/2010,-0.0029411
19/04/2010,-0.0001268
20/04/2010,0.0022335
21/04/2010,0.0049076
22/04/2010,0.0058441
23/04/2010,0.0324202
26/04/2010,0.0012398
27/04/2010,0.0018539
28/04/2010,-0.0010748
29/04/2010,0.0047665
30/04/2010,0.0039339
04/05/2010,0.0075989
05/05/2010,0.0212498
07/05/2010,0.0026817
10/05/2010,0.0025215
11/05/2010,0.019908
12/05/2010,0.0030251
13/05/2010,0.0051374
14/05/2010,0.002964
17/05/2010,-0.0018463
18/05/2010,-0.0049686
19/05/2010,-0.0059929
20/05/2010,0.0124969
21/05/2010,0.0043564
24/05/2010,0.0027781
26/05/2010,0.0013208
27/05/2010,-0.0102615
28/05/2010,0.008359
02/06/2010,-0.0128918
03/06/2010,0.00035
04/06/2010,-0.0139437
07/06/2010,-0.0042
08/06/2010,-0.0241327
09/06/2010,-0.0229149
10/06/2010,-0.0018854
11/06/2010,-0.0054703
14/06/2010,-0.0130444
15/06/2010,-0.0056829
16/06/2010,-0.0066042
17/06/2010,0.0148478
18/06/2010,0.0130911
21/06/2010,0.0245838
22/06/2010,-0.0105419
23/06/2010,-0.0006351
24/06/2010,0.0005417
25/06/2010,-0.0163107
28/06/2010,-0.0008307
29/06/2010,-0.0005989
30/06/2010,-9.54E-06
02/07/2010,0
06/07/2010,-0.0069418
07/07/2010,-0.002635
08/07/2010,-0.0128279
09/07/2010,0.0118675
12/07/2010,-0.0167341
13/07/2010,-0.0212383
14/07/2010,-0.0178432
15/07/2010,0.0008345
16/07/2010,0.0190268
19/07/2010,-0.0003881
20/07/2010,-0.003809
21/07/2010,-0.0007553
22/07/2010,-0.0023718
23/07/2010,0.0001831
26/07/2010,0.0065098
27/07/2010,0.0124073
28/07/2010,0.0031853
29/07/2010,0.0003242
30/07/2010,0.0008497
02/08/2010,-0.0162859
03/08/2010,-0.0014143
05/08/2010,-0.0084295
06/08/2010,0.0017233
09/08/2010,0.000226
10/08/2010,0.0015774
11/08/2010,0.019702
12/08/2010,-0.0006275
16/08/2010,0.0042629
17/08/2010,-0.0001888
18/08/2010,0.0066538
19/08/2010,0.020009
20/08/2010,0.003336
23/08/2010,-0.015481
24/08/2010,0.0164223
25/08/2010,0.0029383
26/08/2010,-0.0151901
30/08/2010,0.0010748
31/08/2010,0.0038319
01/09/2010,-0.0123978
02/09/2010,0.0044279
03/09/2010,-0.0152302
07/09/2010,0.0187759
08/09/2010,-0.001832
13/09/2010,-0.0029745
14/09/2010,0.0034494
15/09/2010,-0.0151978
16/09/2010,0.0149536
17/09/2010,0.0019207
20/09/2010,0.002471
22/09/2010,-0.0004549
23/09/2010,0.0053387
24/09/2010,-0.0259457
27/09/2010,-0.0025387
28/09/2010,0.0002642
29/09/2010,0.0190344
30/09/2010,0.0079727
01/10/2010,0.0162487
04/10/2010,-0.0215797
05/10/2010,0.0017548
06/10/2010,0.0009623
07/10/2010,-0.0181532
08/10/2010,-0.0007648
12/10/2010,0.0268135
13/10/2010,-0.0013351
14/10/2010,-0.0156212
15/10/2010,-0.0037766
18/10/2010,0.0004835
19/10/2010,0.0191984
21/10/2010,0.0005217
22/10/2010,-0.0162086
25/10/2010,0.000535
26/10/2010,-0.0004005
27/10/2010,0.0176315
28/10/2010,-0.0082521
29/10/2010,0.0096684
01/11/2010,-0.0207844
03/11/2010,0.0210686
04/11/2010,0.0016088
08/11/2010,-0.0198278
09/11/2010,0.0177326
10/11/2010,-0.0135622
12/11/2010,-0.000185
15/11/2010,0.0003223
19/11/2010,0.0076694
22/11/2010,-0.0012331
23/11/2010,0.0041332
24/11/2010,-0.000309
26/11/2010,-0.0104952
29/11/2010,0.0157003
30/11/2010,0.0061045
01/12/2010,-0.0014572
02/12/2010,-0.0142584
08/12/2010,0.0056486
09/12/2010,0.0018559
10/12/2010,0.0141697
14/12/2010,-0.0111399
15/12/2010,-0.0053148
16/12/2010,0.0282936
17/12/2010,0.0007582
20/12/2010,-0.0094557
21/12/2010,-0.0044622
22/12/2010,-0.0014076
23/12/2010,-0.0001411
24/12/2010,-0.0028038
29/12/2010,0.00634
30/12/2010,0.0031834
31/12/2010,0.0199337
04/01/2011,-2.00509
