DATE,Kexc
05/01/2010,-0.0072727
06/01/2010,0.0039735
07/01/2010,-0.0006614
08/01/2010,-0.0006614
11/01/2010,-0.0039787
12/01/2010,0.0053015
13/01/2010,-0.0033102
14/01/2010,0.0006628
15/01/2010,0.0052876
19/01/2010,0
20/01/2010,0.0013175
21/01/2010,0.0013156
22/01/2010,-0.0019741
25/01/2010,0.0030255
26/01/2010,0.001575
27/01/2010,0.0006557
28/01/2010,-0.0085554
29/01/2010,0.0032992
02/02/2010,0.0019741
03/02/2010,-0.0013156
04/02/2010,0.0059075
05/02/2010,0.0045705
08/02/2010,0.00455
09/02/2010,-0.0065064
10/02/2010,-0.0032687
11/02/2010,0.0039215
12/02/2010,0.0045557
16/02/2010,0.0045352
17/02/2010,-0.006485
18/02/2010,0.0003901
19/02/2010,0.0022092
22/02/2010,-0.0039015
23/02/2010,0.003252
24/02/2010,0.001687
25/02/2010,-0.0036368
01/03/2010,0
02/03/2010,0.0019498
03/03/2010,0.0006495
04/03/2010,-0.0006495
05/03/2010,-0.0049472
09/03/2010,-0.0006518
10/03/2010,-0.0013056
11/03/2010,0.0019574
15/03/2010,0.0032587
17/03/2010,-0.0036464
18/03/2010,0.0032563
19/03/2010,0.0002599
22/03/2010,0.0010395
23/03/2010,0.0019464
24/03/2010,0.0051713
25/03/2010,-0.0019364
26/03/2010,-0.0012927
29/03/2010,0.0019388
30/03/2010,-0.0012922
31/03/2010,0.0019374
01/04/2010,-0.003231
06/04/2010,0.0019398
07/04/2010,-0.0009046
08/04/2010,-0.0010352
12/04/2010,0.0006471
13/04/2010,-0.0019422
14/04/2010,0
15/04/2010,-0.0038962
16/04/2010,0.0032477
19/04/2010,0.0051746
20/04/2010,-0.0019374
21/04/2010,0.0012922
22/04/2010,-0.0012922
23/04/2010,-0.0012937
26/04/2010,0.0019398
27/04/2010,-0.0006461
28/04/2010,0.0003877
29/04/2010,0.0015497
30/04/2010,-0.0038786
04/05/2010,0.0006475
05/05/2010,0.003231
07/05/2010,0.0038462
10/05/2010,-0.0070629
11/05/2010,0.002574
12/05/2010,-0.0006428
13/05/2010,0.0057712
14/05/2010,0.0012779
17/05/2010,0.0044603
18/05/2010,-0.0038218
19/05/2010,0.0107903
20/05/2010,0.0075474
21/05/2010,-0.0056553
24/05/2010,0
26/05/2010,-0.000627
27/05/2010,-0.0006275
28/05/2010,0.0012546
02/06/2010,0.0037546
03/06/2010,0.0012484
04/06/2010,0.0213552
07/06/2010,0.001708
08/06/2010,-0.0002437
09/06/2010,-0.0020752
10/06/2010,-0.0114303
11/06/2010,-0.000618
14/06/2010,-0.0024772
15/06/2010,0.0016108
16/06/2010,-0.0016108
17/06/2010,0.0012393
18/06/2010,-0.0018592
21/06/2010,-0.0024843
22/06/2010,0.0061994
23/06/2010,0.0012355
24/06/2010,0.0059085
25/06/2010,0.0033083
28/06/2010,-0.0024495
29/06/2010,0.0024495
30/06/2010,0
02/07/2010,-0.0039272
06/07/2010,0.0039272
07/07/2010,-0.0018392
08/07/2010,0
09/07/2010,-0.0008593
12/07/2010,0.0042892
13/07/2010,0.0008554
14/07/2010,-0.0012221
15/07/2010,-0.001224
16/07/2010,-0.0012255
19/07/2010,0.0012255
20/07/2010,0.0018353
21/07/2010,-0.0018353
22/07/2010,-0.0012255
23/07/2010,-0.0030704
26/07/2010,-0.0030799
27/07/2010,-0.0061879
28/07/2010,0.0006204
29/07/2010,-0.005599
30/07/2010,0.0006237
02/08/2010,0
03/08/2010,-0.0031219
05/08/2010,-0.0056443
06/08/2010,-0.0025191
09/08/2010,0.0012603
10/08/2010,0.0031438
11/08/2010,0.0031338
12/08/2010,0.0059896
16/08/2010,0.0006223
17/08/2010,-0.0002489
18/08/2010,0.0027332
19/08/2010,0.0049505
20/08/2010,0.0018501
23/08/2010,0
24/08/2010,0
25/08/2010,-0.0024676
26/08/2010,-0.0016074
30/08/2010,0.0012369
31/08/2010,0.001358
01/09/2010,-0.0059409
02/09/2010,0.0009923
03/09/2010,0.0014873
07/09/2010,0.0030913
08/09/2010,0.0024662
13/09/2010,-0.0012355
14/09/2010,0
15/09/2010,-0.0024753
16/09/2010,-0.0031028
17/09/2010,0.001863
20/09/2010,0.0030971
22/09/2010,-0.0027161
23/09/2010,0.0020995
24/09/2010,-0.0024705
27/09/2010,-0.0006189
28/09/2010,0.0006189
29/09/2010,-0.0018573
30/09/2010,0.0006194
01/10/2010,0.0006189
04/10/2010,0
05/10/2010,0
06/10/2010,-0.0018582
07/10/2010,-0.0018616
08/10/2010,-0.0018649
12/10/2010,0.0049658
13/10/2010,-0.0012393
14/10/2010,-0.0024829
15/10/2010,0.0006213
18/10/2010,0.0031009
19/10/2010,0
21/10/2010,0.0030913
22/10/2010,-0.0024724
25/10/2010,-0.0024781
26/10/2010,0.0018592
27/10/2010,0.0012379
28/10/2010,-0.0037174
29/10/2010,0.0012403
01/11/2010,0.0006199
03/11/2010,0.0031042
04/11/2010,-0.0068426
08/11/2010,0.0056024
09/11/2010,-0.001864
10/11/2010,0.0024843
12/11/2010,-0.0012417
15/11/2010,-0.0006213
19/11/2010,-0.0012474
22/11/2010,0.0018706
23/11/2010,-0.0024953
24/11/2010,0.0037408
26/11/2010,0.0043464
29/11/2010,0.0018573
30/11/2010,0.0024705
01/12/2010,-0.0037084
