DATE,Knse
05/01/2010,-0.002121
06/01/2010,0.0037632
07/01/2010,0.0049019
08/01/2010,0.0063705
11/01/2010,0.0138378
12/01/2010,-0.0015087
13/01/2010,0.0076933
14/01/2010,0.01649
15/01/2010,0.0187273
19/01/2010,0.0336342
20/01/2010,0.0081072
21/01/2010,-0.0031538
22/01/2010,0.000041
25/01/2010,-0.005867
26/01/2010,-0.0000868
27/01/2010,-0.0023117
28/01/2010,-0.0073681
29/01/2010,-0.0019922
02/02/2010,-0.0005922
03/02/2010,0.00179
04/02/2010,0.0001898
05/02/2010,0.004221
08/02/2010,-0.0012875
09/02/2010,0.0028286
10/02/2010,-0.0000582
11/02/2010,0
12/02/2010,0.0004768
16/02/2010,-0.0099039
17/02/2010,-0.014101
18/02/2010,0.0044775
19/02/2010,0.0048714
22/02/2010,0.0023832
23/02/2010,0.0094261
24/02/2010,0.0104837
25/02/2010,-0.0018749
01/03/2010,-0.0023088
02/03/2010,0.0100241
03/03/2010,0.0024605
04/03/2010,0.0024548
05/03/2010,0.0084686
09/03/2010,0.0179062
10/03/2010,0.0231838
11/03/2010,0.0164633
15/03/2010,0.023983
17/03/2010,-0.0073891
18/03/2010,-0.0143967
19/03/2010,-0.0135059
22/03/2010,0.009017
23/03/2010,0.005085
24/03/2010,0.0018063
25/03/2010,0.006218
26/03/2010,0.0030346
29/03/2010,-0.0062904
30/03/2010,0.0068998
31/03/2010,0.0037632
01/04/2010,-0.0031719
06/04/2010,0.0004683
07/04/2010,0
08/04/2010,0
12/04/2010,0.0029716
13/04/2010,-0.0034056
14/04/2010,0.0033665
15/04/2010,0.006259
16/04/2010,0.0029354
19/04/2010,-0.0038824
20/04/2010,0.0034857
21/04/2010,0.0092592
22/04/2010,0.0080004
23/04/2010,0.0106144
26/04/2010,0.0122957
27/04/2010,0.0026932
28/04/2010,-0.0021114
29/04/2010,-0.0023232
30/04/2010,-0.0088491
04/05/2010,-0.0027637
05/05/2010,0.0090017
07/05/2010,0.0016117
10/05/2010,-0.0094614
11/05/2010,-0.002533
12/05/2010,0.0035801
13/05/2010,0.0022163
14/05/2010,0.0088148
17/05/2010,-0.0007534
18/05/2010,0.0032358
19/05/2010,0.0014763
20/05/2010,0.000104
21/05/2010,0.0019951
24/05/2010,0.0011024
26/05/2010,-0.0134735
27/05/2010,-0.0139017
28/05/2010,0.0042048
02/06/2010,0.0116892
