DATE,Mexc
05/01/2010,0.0065575
06/01/2010,-0.0115039
07/01/2010,0
08/01/2010,-0.0033112
11/01/2010,-0.0116765
12/01/2010,0.0016766
13/01/2010,-0.0016766
14/01/2010,0.0066891
15/01/2010,-0.0050125
19/01/2010,-0.0016766
20/01/2010,0.0016766
21/01/2010,0
22/01/2010,0.0033445
25/01/2010,0.001668
26/01/2010,-0.0033391
27/01/2010,0.0033391
28/01/2010,-0.0033391
29/01/2010,-0.0050292
02/02/2010,0.0116961
03/02/2010,-0.0033278
04/02/2010,0.0033278
05/02/2010,0.0066223
08/02/2010,0.00033
09/02/2010,0.002965
10/02/2010,0.0032842
11/02/2010,-0.0032842
12/02/2010,0.0032842
16/02/2010,0.0032732
17/02/2010,0
18/02/2010,0.0016327
19/02/2010,0.0161815
22/02/2010,-0.0112996
23/02/2010,0
24/02/2010,0.0112996
25/02/2010,-0.0096774
01/03/2010,0.0032573
02/03/2010,-0.0081632
03/03/2010,0.0016379
04/03/2010,-0.0032787
05/03/2010,0.004914
09/03/2010,-0.0146701
10/03/2010,0.0032787
11/03/2010,0.0048981
15/03/2010,0
17/03/2010,-0.0147667
18/03/2010,0.0082307
19/03/2010,-0.0049303
22/03/2010,0.0032895
23/03/2010,-0.0032895
24/03/2010,0.0032895
25/03/2010,0.0130508
26/03/2010,-0.004874
29/03/2010,0.0032518
30/03/2010,-0.0016246
31/03/2010,-0.0032573
01/04/2010,-0.0098362
06/04/2010,0.0081103
07/04/2010,-0.0064831
08/04/2010,0.0080972
12/04/2010,-0.0048661
13/04/2010,0
14/04/2010,-0.0032573
15/04/2010,0.0097404
16/04/2010,-0.0064831
19/04/2010,0
20/04/2010,0.0080972
21/04/2010,-0.0113544
22/04/2010,0
23/04/2010,0.0032573
26/04/2010,-0.009804
27/04/2010,0.0162871
28/04/2010,0.0032258
29/04/2010,0
30/04/2010,0
04/05/2010,0.0016193
05/05/2010,0.0048428
07/05/2010,0.0096154
10/05/2010,0.0126784
11/05/2010,-0.0094936
12/05/2010,0.020457
13/05/2010,0.004662
14/05/2010,-0.0062211
17/05/2010,0.021606
18/05/2010,0.0091186
19/05/2010,0.0105343
20/05/2010,0.0251307
21/05/2010,-0.0058565
24/05/2010,-0.0088496
26/05/2010,-0.0014696
27/05/2010,0.0073261
28/05/2010,-0.0206499
02/06/2010,-0.0015004
03/06/2010,-0.0075357
04/06/2010,0
07/06/2010,0.0120301
08/06/2010,-0.0044944
09/06/2010,-0.010566
10/06/2010,-0.0045629
11/06/2010,-0.0015254
14/06/2010,-0.007663
15/06/2010,0.0091884
16/06/2010,-0.0045836
17/06/2010,-0.0039895
18/06/2010,0.0070477
21/06/2010,-0.0092025
22/06/2010,0.0030768
23/06/2010,-0.0123649
24/06/2010,0.0031056
25/06/2010,0.0123267
28/06/2010,-0.0030675
29/06/2010,-0.0186052
30/06/2010,-0.0031347
02/07/2010,0
06/07/2010,-0.0094936
07/07/2010,-0.0015912
08/07/2010,-0.0079937
09/07/2010,0
12/07/2010,0.0016038
13/07/2010,-0.0016038
14/07/2010,0
15/07/2010,0
16/07/2010,-0.0016062
19/07/2010,-0.0080712
20/07/2010,-0.0016222
21/07/2010,0.0112996
22/07/2010,-0.0129242
23/07/2010,-0.0032573
26/07/2010,-0.0065467
27/07/2010,0
28/07/2010,-0.0132234
29/07/2010,0.0066335
30/07/2010,0.0065899
02/08/2010,-0.0165565
03/08/2010,-0.0067003
05/08/2010,-0.0033445
06/08/2010,0
09/08/2010,-0.0033557
10/08/2010,-0.0067456
11/08/2010,0.0134459
12/08/2010,0.013267
16/08/2010,0.0198352
17/08/2010,0
18/08/2010,0
19/08/2010,-0.0032787
20/08/2010,0.0065467
23/08/2010,0.0032573
24/08/2010,0.0129242
25/08/2010,-0.004827
26/08/2010,0
30/08/2010,-0.0016141
31/08/2010,-0.001617
01/09/2010,-0.0016193
02/09/2010,-0.0016222
03/09/2010,-0.0016246
07/09/2010,0.0016246
08/09/2010,0.0032415
13/09/2010,0.014528
14/09/2010,0
15/09/2010,-0.0064309
16/09/2010,-0.003231
17/09/2010,0
20/09/2010,0
22/09/2010,-0.004874
23/09/2010,-0.006536
24/09/2010,-0.0032842
27/09/2010,-0.0066006
28/09/2010,0
29/09/2010,0
30/09/2010,-0.0066445
01/10/2010,-0.0033391
04/10/2010,0
05/10/2010,0
06/10/2010,-0.0016735
07/10/2010,-0.0016766
08/10/2010,-0.0033612
12/10/2010,0.0067112
13/10/2010,0
14/10/2010,0
15/10/2010,0
18/10/2010,-0.0151644
19/10/2010,0.0101352
21/10/2010,-0.0033612
22/10/2010,0
25/10/2010,0
26/10/2010,0
27/10/2010,0.0033612
28/10/2010,-0.0050464
29/10/2010,-0.0050716
01/11/2010,0.0033841
03/11/2010,-0.0050805
04/11/2010,0
08/11/2010,-0.0074985
09/11/2010,0.000684
10/11/2010,0.0135825
12/11/2010,0
15/11/2010,0.0216856
19/11/2010,-0.0016596
22/11/2010,0
23/11/2010,-0.0033278
24/11/2010,0.0082986
26/11/2010,0.0016515
29/11/2010,0.0065792
30/11/2010,0
01/12/2010,0.006536
02/12/2010,0
08/12/2010,0.0147667
09/12/2010,0
10/12/2010,0
14/12/2010,0
15/12/2010,0.0016515
16/12/2010,-0.0016515
17/12/2010,0
20/12/2010,0.0121574
21/12/2010,-0.0039268
22/12/2010,0.0016379
23/12/2010,0.0146224
24/12/2010,-0.0129871
29/12/2010,-0.0016434
30/12/2010,0
31/12/2010,-0.0032949
04/01/2011,0.0016489
05/01/2011,-0.0016489
06/01/2011,0.0049384
07/01/2011,0.0032787
31/01/2011,-0.005115
02/02/2011,0.005115
04/02/2011,0
07/02/2011,0
08/02/2011,-0.003407
09/02/2011,0.0017049
10/02/2011,0.0017021
11/02/2011,-0.0017021
14/02/2011,0.008482
16/02/2011,0.0016909
17/02/2011,-0.0033841
18/02/2011,-0.0016963
22/02/2011,0.0016963
23/02/2011,-0.0050979
24/02/2011,-0.0017049
25/02/2011,-0.0034189
08/03/2011,-0.0017316
09/03/2011,0.0051858
10/03/2011,-0.0069203
11/03/2011,0.0103629
14/03/2011,-0.0103629
15/03/2011,-0.0017376
16/03/2011,-0.0017407
17/03/2011,-0.0034904
22/03/2011,-0.0035026
23/03/2011,-0.003515
24/03/2011,-0.0017619
25/03/2011,0.0087795
28/03/2011,-0.0070176
29/03/2011,0
