DATE,Msem
05/01/2010,0.0074096
06/01/2010,0.0043788
07/01/2010,0.0085111
08/01/2010,0.0055346
11/01/2010,-0.0007353
12/01/2010,0.003406
13/01/2010,-0.006587
14/01/2010,-0.0034165
15/01/2010,0.0091825
19/01/2010,-0.0017557
20/01/2010,0.003438
21/01/2010,0.0014281
22/01/2010,-0.0034275
25/01/2010,0.0008216
26/01/2010,0.0041251
27/01/2010,-0.0001693
28/01/2010,0.0050397
29/01/2010,0.0116529
02/02/2010,0.0023465
03/02/2010,0.0009565
04/02/2010,-0.0006356
05/02/2010,-0.011929
08/02/2010,-0.0075712
09/02/2010,-0.0002804
10/02/2010,-0.0011868
11/02/2010,-0.0006614
12/02/2010,-0.0111136
16/02/2010,-0.0083809
17/02/2010,-0.0036182
18/02/2010,-0.002399
19/02/2010,0.0035906
22/02/2010,-0.0029426
23/02/2010,-0.0022826
24/02/2010,-0.0017581
25/02/2010,-0.0048866
01/03/2010,-0.0072312
02/03/2010,-0.0039787
03/03/2010,-0.0082664
04/03/2010,0.0029378
05/03/2010,0.012393
09/03/2010,0.0090303
10/03/2010,0.0045633
11/03/2010,0.0023937
15/03/2010,-0.0044074
17/03/2010,-0.0031242
18/03/2010,0.0020556
19/03/2010,-0.0021949
22/03/2010,-0.002461
23/03/2010,0.0000725
24/03/2010,-0.0015607
25/03/2010,-0.0004196
26/03/2010,0.0003405
29/03/2010,0.0023923
30/03/2010,-0.0029578
31/03/2010,-0.002533
01/04/2010,-0.0003662
06/04/2010,-0.004631
07/04/2010,0.0022092
08/04/2010,0.0014658
12/04/2010,-0.0009537
13/04/2010,0.0012431
14/04/2010,0.0028834
15/04/2010,0.00173
16/04/2010,0.0025234
19/04/2010,-0.0008502
20/04/2010,0.0045309
21/04/2010,0.0021868
22/04/2010,0.0024962
23/04/2010,0.0016136
26/04/2010,0.0013976
27/04/2010,0.000627
28/04/2010,-0.0021491
29/04/2010,0.0002189
30/04/2010,-0.0000768
04/05/2010,-0.0046258
05/05/2010,0.0014291
07/05/2010,-0.0085101
10/05/2010,-0.0145879
11/05/2010,0.0054235
12/05/2010,-0.0015821
13/05/2010,-0.0127721
14/05/2010,-0.003922
17/05/2010,-0.0137138
18/05/2010,0.0141764
19/05/2010,0.004221
20/05/2010,0.0017729
21/05/2010,-0.0016994
