DATE,Texc
05/01/2010,0
06/01/2010,0
07/01/2010,0
08/01/2010,-0.0076047
11/01/2010,0
12/01/2010,0
13/01/2010,0
14/01/2010,0
15/01/2010,0.0076047
19/01/2010,0
20/01/2010,0.0150378
21/01/2010,0
22/01/2010,0
25/01/2010,0
26/01/2010,0
27/01/2010,0.007435
28/01/2010,0
29/01/2010,0.0073801
02/02/2010,0
03/02/2010,0
04/02/2010,0.0145988
05/02/2010,0
08/02/2010,0
09/02/2010,-0.0072728
10/02/2010,0.0072728
11/02/2010,0
12/02/2010,0.0072202
16/02/2010,-0.0072202
17/02/2010,0.0072202
18/02/2010,0
19/02/2010,0.0071685
22/02/2010,0
23/02/2010,0
24/02/2010,0
25/02/2010,0
01/03/2010,0
02/03/2010,-0.0071685
03/03/2010,-0.0072202
04/03/2010,0.0072202
05/03/2010,-0.0072202
09/03/2010,0
10/03/2010,-0.0072202
11/03/2010,0
15/03/2010,0
17/03/2010,0.0072728
18/03/2010,0.0072202
19/03/2010,0
22/03/2010,0
23/03/2010,0
24/03/2010,0.014286
25/03/2010,0.0070671
26/03/2010,-0.0070671
29/03/2010,-0.0071175
30/03/2010,0.0071175
31/03/2010,-0.0071175
01/04/2010,-0.0071685
06/04/2010,0
07/04/2010,0
08/04/2010,0
12/04/2010,-0.0071175
13/04/2010,-0.0071685
14/04/2010,0
15/04/2010,0.0071685
16/04/2010,0
19/04/2010,0.0071175
20/04/2010,0
21/04/2010,0
22/04/2010,0.0070671
23/04/2010,0
26/04/2010,-0.0070671
27/04/2010,0.0140847
28/04/2010,0
29/04/2010,0
30/04/2010,0
04/05/2010,0.0069204
05/05/2010,0.0136988
07/05/2010,0
10/05/2010,-0.0067797
11/05/2010,0.0067797
12/05/2010,0
13/05/2010,0.006734
14/05/2010,0.006689
17/05/2010,0
18/05/2010,0.0132452
19/05/2010,-0.0132452
20/05/2010,-0.006689
21/05/2010,0
24/05/2010,0.006689
26/05/2010,0.0132452
27/05/2010,-0.0132452
28/05/2010,0.0066445
02/06/2010,0
03/06/2010,0.0066007
04/06/2010,0.0065574
07/06/2010,0.0065147
08/06/2010,-0.0065147
09/06/2010,0
10/06/2010,-0.0065574
11/06/2010,0.0065574
14/06/2010,-0.0065574
15/06/2010,-0.0132452
16/06/2010,0
17/06/2010,0
18/06/2010,0
21/06/2010,0.0066445
22/06/2010,0
23/06/2010,0
24/06/2010,0
25/06/2010,0
28/06/2010,0.0066007
29/06/2010,0
30/06/2010,0
02/07/2010,0
06/07/2010,-0.013423
07/07/2010,0
08/07/2010,0
09/07/2010,0.006734
12/07/2010,0.006689
13/07/2010,-0.013423
14/07/2010,0
15/07/2010,-0.0136056
16/07/2010,0
19/07/2010,0
20/07/2010,0.006826
21/07/2010,0.0067797
22/07/2010,-0.0067797
23/07/2010,0
26/07/2010,-0.006826
27/07/2010,0
28/07/2010,0
29/07/2010,0
30/07/2010,0
02/08/2010,-0.0068729
03/08/2010,-0.0069204
05/08/2010,0
06/08/2010,-0.0069204
09/08/2010,0
10/08/2010,0
11/08/2010,0.0206193
12/08/2010,0
16/08/2010,0
17/08/2010,0
18/08/2010,0
19/08/2010,0
20/08/2010,0.0067797
23/08/2010,0.006734
24/08/2010,0
25/08/2010,0
26/08/2010,0
30/08/2010,0
31/08/2010,0
01/09/2010,-0.006734
02/09/2010,0
03/09/2010,-0.0067797
07/09/2010,0.0135137
08/09/2010,0
13/09/2010,-0.006734
14/09/2010,-0.0136056
15/09/2010,0
16/09/2010,0
17/09/2010,0
20/09/2010,0
22/09/2010,-0.0069204
23/09/2010,0
24/09/2010,-0.0069687
27/09/2010,0
28/09/2010,-0.0070176
29/09/2010,0
30/09/2010,0
01/10/2010,-0.0070671
04/10/2010,0.0070671
05/10/2010,-0.0070671
06/10/2010,-0.0071175
07/10/2010,0
08/10/2010,-0.0071685
12/10/2010,0
13/10/2010,0
14/10/2010,0
15/10/2010,0
18/10/2010,0
19/10/2010,0.014286
21/10/2010,0
22/10/2010,0
25/10/2010,0
26/10/2010,0.0071685
27/10/2010,0
28/10/2010,0
29/10/2010,-0.0071685
01/11/2010,0
03/11/2010,-0.0072202
04/11/2010,0
08/11/2010,0.0072202
09/11/2010,0.014286
10/11/2010,-0.0071175
12/11/2010,0.0071175
15/11/2010,0.0070671
19/11/2010,0
22/11/2010,0
23/11/2010,0.0139863
24/11/2010,0
26/11/2010,0
29/11/2010,0.0069204
30/11/2010,0.0136988
01/12/2010,-0.0136988
02/12/2010,-0.0069204
08/12/2010,0.0069687
09/12/2010,0
10/12/2010,0.0069204
14/12/2010,-0.0069687
15/12/2010,0.0138892
16/12/2010,0
17/12/2010,0
20/12/2010,0.0068729
21/12/2010,0
22/12/2010,0
23/12/2010,0
24/12/2010,-0.0068729
29/12/2010,0
30/12/2010,-0.0069204
31/12/2010,-0.0281709
04/01/2011,0.0069204
05/01/2011,0
06/01/2011,0.0068729
07/01/2011,0.006826
31/01/2011,-0.0139863
02/02/2011,0
04/02/2011,0
07/02/2011,0
08/02/2011,0
09/02/2011,-0.0070671
10/02/2011,0.0070671
11/02/2011,0.0070176
14/02/2011,0
16/02/2011,-0.0070176
17/02/2011,0
18/02/2011,0
22/02/2011,0
23/02/2011,-0.0070671
24/02/2011,0
25/02/2011,0
08/03/2011,0
09/03/2011,0
10/03/2011,0.0071175
11/03/2011,-0.0071175
14/03/2011,-0.0071685
15/03/2011,0
16/03/2011,0.0071685
17/03/2011,-0.0071685
22/03/2011,0
23/03/2011,0.0072202
24/03/2011,-0.0072202
25/03/2011,0.0072202
28/03/2011,0
29/03/2011,0
30/03/2011,0
31/03/2011,0
01/04/2011,-0.0072202
05/04/2011,0
06/04/2011,0
07/04/2011,0
08/04/2011,-0.0072728
11/04/2011,0
12/04/2011,0
13/04/2011,0
14/04/2011,0
15/04/2011,0
18/04/2011,0.014493
19/04/2011,-0.014493
20/04/2011,0
21/04/2011,0
26/04/2011,0
27/04/2011,-0.0148151
28/04/2011,0.007435
29/04/2011,0
03/05/2011,0
04/05/2011,0
05/05/2011,0.0073801
06/05/2011,0.0145988
09/05/2011,-0.0072728
10/05/2011,-0.007326
11/05/2011,0.0145988
12/05/2011,0
13/05/2011,0
16/05/2011,0
17/05/2011,0.0072202
18/05/2011,-0.0072202
19/05/2011,0
20/05/2011,0.0072202
23/05/2011,0.0071685
24/05/2011,-0.0071685
26/05/2011,0
27/05/2011,-0.0072202
31/05/2011,-0.0072728
02/06/2011,-0.0145988
03/06/2011,0
07/06/2011,-0.0073801
08/06/2011,0.0073801
09/06/2011,0
10/06/2011,0.007326
13/06/2011,0
14/06/2011,0
15/06/2011,0.014493
16/06/2011,-0.0072202
17/06/2011,0
20/06/2011,0
21/06/2011,-0.0072728
22/06/2011,0
23/06/2011,0
24/06/2011,0.0072728
27/06/2011,0
28/06/2011,0
29/06/2011,-0.0072728
30/06/2011,0
05/07/2011,0.007326
06/07/2011,0.0072728
07/07/2011,0
08/07/2011,0
12/07/2011,0
13/07/2011,-0.0071685
14/07/2011,-0.0072202
15/07/2011,0.0072202
18/07/2011,0
19/07/2011,0
20/07/2011,-0.0072202
21/07/2011,-0.0072728
22/07/2011,0
26/07/2011,-0.007326
27/07/2011,0.007326
28/07/2011,0
29/07/2011,0
02/08/2011,0
03/08/2011,0
04/08/2011,0.0072202
05/08/2011,-0.0072202
08/08/2011,0.0072202
10/08/2011,0.0072202
11/08/2011,-0.0072202
12/08/2011,0
15/08/2011,-0.0072728
16/08/2011,0
17/08/2011,0
18/08/2011,0.0072728
19/08/2011,-0.0072728
24/08/2011,0.007326
26/08/2011,-0.0145988
29/08/2011,0
06/09/2011,0.0143887
07/09/2011,-0.0071685
08/09/2011,0.0071685
09/09/2011,0.0141846
13/09/2011,0
14/09/2011,0
15/09/2011,-0.0070671
16/09/2011,0
19/09/2011,0.0070671
20/09/2011,0
22/09/2011,0
23/09/2011,0
26/09/2011,0
27/09/2011,0
28/09/2011,0
29/09/2011,0
30/09/2011,0.0069687
03/10/2011,0.0069204
04/10/2011,-0.0069204
05/10/2011,0
06/10/2011,0
07/10/2011,0
11/10/2011,-0.0069687
14/10/2011,-0.0070671
19/10/2011,-0.0070176
21/10/2011,-0.0070671
24/10/2011,-0.0071175
27/10/2011,0
28/10/2011,0
31/10/2011,0.0141846
03/11/2011,-0.0070176
04/11/2011,0.0070176
08/11/2011,0
09/11/2011,0.0069687
10/11/2011,0
14/11/2011,0
15/11/2011,0.0069204
16/11/2011,0
17/11/2011,0
21/11/2011,-0.0068729
22/11/2011,0
23/11/2011,0.0068729
25/11/2011,0.0136056
28/11/2011,-0.0067797
30/11/2011,-0.006826
05/12/2011,0
06/12/2011,0
07/12/2011,0
08/12/2011,0
09/12/2011,0.0067797
13/12/2011,0.006734
14/12/2011,0
15/12/2011,0
16/12/2011,0
19/12/2011,0
20/12/2011,0
21/12/2011,0
22/12/2011,0
23/12/2011,0
28/12/2011,0.006689
30/12/2011,0
03/01/2012,-0.006689
04/01/2012,0.006689
05/01/2012,0.0066445
06/01/2012,0.0066007
10/01/2012,0
11/01/2012,0.0065574
12/01/2012,-0.0065574
13/01/2012,0.0065574
17/01/2012,0
18/01/2012,0
19/01/2012,-0.0065574
20/01/2012,0
24/01/2012,-0.0066445
25/01/2012,0
26/01/2012,0.0066445
27/01/2012,-0.0066445
30/01/2012,0
31/01/2012,0.0066445
02/02/2012,0.0066445
03/02/2012,0
06/02/2012,-0.0066445
08/02/2012,0
09/02/2012,0
10/02/2012,0.0066445
13/02/2012,-0.0066445
14/02/2012,0
15/02/2012,0.0132452
16/02/2012,-0.0066007
17/02/2012,0
21/02/2012,0
22/02/2012,0
23/02/2012,-0.0066445
24/02/2012,-0.006689
28/02/2012,0
29/02/2012,0.006689
01/03/2012,0
02/03/2012,0.0066445
05/03/2012,0
07/03/2012,0
08/03/2012,-0.0066445
09/03/2012,0.0132452
13/03/2012,0.0066007
14/03/2012,0
15/03/2012,0
16/03/2012,-0.0066007
19/03/2012,0
21/03/2012,0
22/03/2012,0
26/03/2012,-0.0066445
27/03/2012,0
28/03/2012,0
29/03/2012,0
30/03/2012,0
02/04/2012,0
03/04/2012,0.0066445
04/04/2012,0.0066007
05/04/2012,0
10/04/2012,0.0065574
11/04/2012,0
12/04/2012,-0.0065574
13/04/2012,0.0065574
16/04/2012,0
17/04/2012,0
18/04/2012,0
19/04/2012,-0.0065574
20/04/2012,0
23/04/2012,0.0065574
24/04/2012,0
25/04/2012,0
26/04/2012,0.0065147
27/04/2012,0
30/04/2012,-0.0065147
02/05/2012,0.0065147
03/05/2012,0
04/05/2012,0.0064725
07/05/2012,0
08/05/2012,0.0064309
09/05/2012,0
10/05/2012,0
11/05/2012,0
14/05/2012,0.0063899
15/05/2012,0.0126584
16/05/2012,0
17/05/2012,-0.0063092
18/05/2012,0
21/05/2012,0
22/05/2012,0.0063092
23/05/2012,0.0062696
24/05/2012,0.0062306
29/05/2012,0.0062306
30/05/2012,0.006192
31/05/2012,0
05/06/2012,0.006192
06/06/2012,-0.0124225
07/06/2012,0.0062306
08/06/2012,0
11/06/2012,0.006192
12/06/2012,-0.006192
13/06/2012,-0.0062306
15/06/2012,0
18/06/2012,0
19/06/2012,-0.0063092
