DATE,Tun
05/01/2010,0.0193501
06/01/2010,0.0143709
07/01/2010,0.0089188
08/01/2010,-0.003664
11/01/2010,0.0026503
12/01/2010,-0.0023994
13/01/2010,-0.0019197
14/01/2010,-0.0010576
15/01/2010,0.0076275
19/01/2010,0.0099192
20/01/2010,0.0019312
21/01/2010,0.003993
22/01/2010,0.0018673
25/01/2010,0.0043392
26/01/2010,-0.0001087
27/01/2010,0.0011635
28/01/2010,0.005621
29/01/2010,0.0054693
02/02/2010,-0.0029535
03/02/2010,0.0094404
04/02/2010,0.0001583
05/02/2010,-0.004796
08/02/2010,0.0058146
09/02/2010,-0.0037413
10/02/2010,-0.0027294
11/02/2010,-0.0041761
12/02/2010,0.0001936
16/02/2010,0.0020008
17/02/2010,-0.0002575
18/02/2010,-0.004344
19/02/2010,0.0022449
22/02/2010,0.0025587
23/02/2010,-0.0002613
24/02/2010,-0.0024166
25/02/2010,-0.0052919
01/03/2010,0.0011778
02/03/2010,-0.0013742
03/03/2010,-0.0008307
04/03/2010,-0.0013342
05/03/2010,0.0015039
09/03/2010,-0.0051851
10/03/2010,0.0039082
11/03/2010,0.0000896
15/03/2010,-0.0019121
17/03/2010,0.0038395
18/03/2010,0.0047159
19/03/2010,0.0007677
22/03/2010,0.0024567
23/03/2010,0.0002537
24/03/2010,0.0004902
25/03/2010,-0.0083113
26/03/2010,0.0022068
29/03/2010,-0.0015802
30/03/2010,-0.0061712
31/03/2010,0.0040226
01/04/2010,0.0025063
06/04/2010,0.0028553
07/04/2010,0.0020142
08/04/2010,0.0021744
12/04/2010,0.0030842
13/04/2010,-2.86E-06
14/04/2010,-0.0014811
15/04/2010,-3.81E-06
16/04/2010,0.0018473
19/04/2010,0.0011044
20/04/2010,0.0034246
21/04/2010,0.0002909
22/04/2010,0.0067444
23/04/2010,0.0048084
26/04/2010,0.0000496
27/04/2010,0.0012589
28/04/2010,0.0018578
29/04/2010,0.0051708
30/04/2010,0.0066233
04/05/2010,0.0050659
05/05/2010,-0.0023746
07/05/2010,0.0044613
10/05/2010,0.0001583
11/05/2010,-0.0029278
12/05/2010,-0.0019207
13/05/2010,-0.0006037
14/05/2010,0.0067892
17/05/2010,0.000701
18/05/2010,0.0016823
19/05/2010,-0.0054331
20/05/2010,0.0022602
21/05/2010,0.0055914
24/05/2010,-0.0028229
26/05/2010,-0.0029602
27/05/2010,0.0028076
28/05/2010,-0.0005083
02/06/2010,-0.0020494
03/06/2010,0.0015411
04/06/2010,0.0014343
07/06/2010,0.0022469
08/06/2010,-0.0024605
09/06/2010,0.002038
10/06/2010,0.0003405
11/06/2010,-0.0005693
14/06/2010,-0.002449
15/06/2010,0.0030079
16/06/2010,-0.0023718
17/06/2010,0.0012207
18/06/2010,0.0011253
21/06/2010,-0.0022736
22/06/2010,-0.0004463
23/06/2010,-0.002079
24/06/2010,-0.0017357
25/06/2010,-0.0020084
28/06/2010,-0.0028858
29/06/2010,-0.0021133
30/06/2010,0.0020266
02/07/2010,-0.0009937
06/07/2010,0.0044756
07/07/2010,0.0014906
08/07/2010,0.0014954
09/07/2010,-0.0013647
12/07/2010,-0.002038
13/07/2010,0.0019512
14/07/2010,-0.0014515
15/07/2010,-0.0020266
16/07/2010,-0.0028791
19/07/2010,-0.0012255
20/07/2010,0.0009003
21/07/2010,0.0061636
22/07/2010,0.0032349
23/07/2010,0.0035496
26/07/2010,-0.0013561
27/07/2010,0.0047388
28/07/2010,0.0073109
29/07/2010,0.0078526
30/07/2010,0.010376
02/08/2010,0.0015993
03/08/2010,-0.0004759
05/08/2010,0.0053663
06/08/2010,0.0029612
09/08/2010,-0.0023556
10/08/2010,-0.0006218
11/08/2010,0.0017462
12/08/2010,0.0039854
16/08/2010,0.0039368
17/08/2010,0.0010738
18/08/2010,-0.0005636
19/08/2010,0.004734
20/08/2010,0.001585
23/08/2010,0.0040846
24/08/2010,0.001935
25/08/2010,0.0053682
26/08/2010,-0.0000525
30/08/2010,0.0022411
31/08/2010,0.0055647
01/09/2010,0.0097418
02/09/2010,0.0008612
03/09/2010,0.0008583
07/09/2010,0.0023375
08/09/2010,-0.0035563
13/09/2010,0.0035858
14/09/2010,0.0032644
15/09/2010,0.0054235
16/09/2010,0.009532
17/09/2010,0.0071526
20/09/2010,0.0070219
22/09/2010,-0.0044279
23/09/2010,0.0018511
24/09/2010,0.0070858
27/09/2010,0.0031567
28/09/2010,0.0019808
29/09/2010,0.0079603
30/09/2010,0.0046167
01/10/2010,-0.000803
04/10/2010,-0.0071297
05/10/2010,-0.0103397
06/10/2010,-0.0407076
07/10/2010,0.0324926
08/10/2010,-0.0015841
12/10/2010,-0.0259991
13/10/2010,0.0070572
14/10/2010,-0.0028963
15/10/2010,-0.0026627
18/10/2010,-0.0038662
19/10/2010,0.004775
21/10/2010,0.0003338
22/10/2010,-0.0005789
25/10/2010,-0.0063314
26/10/2010,-0.0101843
27/10/2010,0.0000286
28/10/2010,-0.0128174
29/10/2010,-0.0214081
01/11/2010,-0.019721
03/11/2010,-0.000062
04/11/2010,-0.0046883
08/11/2010,-0.0054827
09/11/2010,0.0055447
10/11/2010,0.0132418
12/11/2010,0.0166836
15/11/2010,0.0040016
19/11/2010,-0.0022583
22/11/2010,-0.0014839
23/11/2010,-0.0048428
24/11/2010,-0.0022058
26/11/2010,-0.0001383
29/11/2010,-0.0013218
30/11/2010,-0.000349
01/12/2010,-0.0025892
02/12/2010,0.0009918
08/12/2010,-0.0022211
09/12/2010,-0.0020924
10/12/2010,-0.0040035
14/12/2010,-0.0071449
15/12/2010,0.0056963
16/12/2010,0.0014973
17/12/2010,0.0013294
20/12/2010,-0.0010805
21/12/2010,0.0008278
22/12/2010,-0.0008812
23/12/2010,-0.0037136
24/12/2010,0.0031157
29/12/2010,-0.0075092
30/12/2010,0.0066004
31/12/2010,0.0060778
04/01/2011,0.0082054
05/01/2011,0.006156
06/01/2011,-0.0021162
07/01/2011,0.0049953
31/01/2011,-0.0266609
02/02/2011,0.000845
04/02/2011,0.0313702
07/02/2011,0.0282555
08/02/2011,-0.0068254
09/02/2011,0.0060701
10/02/2011,-0.0085945
11/02/2011,-0.0145016
14/02/2011,-0.0071783
16/02/2011,-0.0126143
17/02/2011,-0.0103664
18/02/2011,0.0079699
