Date,HFC,UNIL,MLC,ALW,PBC,GGBL,CMLT,SWL,FML,SCB,GCB
1990-11-12,,1800.0,,,,83.0,,,25.0,200.0,
1990-11-20,,1600.0,,,,85.0,,,25.0,200.0,
1990-11-23,,1650.0,,,,85.0,,,25.0,200.0,
1990-11-27,,1655.0,,,,86.0,,,25.0,255.0,
1990-11-30,,1655.0,,,,84.0,,,25.0,255.0,
1990-12-04,,1655.0,,,,84.0,,,25.0,255.0,
1990-12-07,,1650.0,,,,75.0,,,24.0,268.0,
1990-12-11,,1650.0,,,,70.0,,,24.0,268.0,
1990-12-14,,1645.0,,,,70.0,,,22.0,268.0,
1990-12-18,,1650.0,,,,61.0,,,22.0,268.0,
1990-12-21,,1640.0,,,,50.0,,,22.0,268.0,
1990-12-28,,1645.0,,,,50.0,,,22.0,268.0,
1991-01-04,,1647.0,,,,47.0,,,19.0,268.0,
1991-01-08,,1644.0,,,,42.0,,,18.0,268.0,
1991-01-11,,1644.0,,,,39.0,,,17.0,308.0,
1991-01-15,,1644.0,,,,36.0,,,16.0,315.0,
1991-01-18,,1600.0,,,,30.0,,,16.0,320.0,
1991-01-22,,1600.0,,,,30.0,,,17.0,320.0,
1991-01-25,,1600.0,,,,28.0,,,17.0,326.0,
1991-01-29,,1600.0,,,,28.0,,,17.0,328.0,
1991-02-01,,1600.0,,,,26.0,,,18.0,330.0,
1991-02-05,,1620.0,,,,30.0,,,17.0,332.0,
1991-02-08,,1600.0,,,,28.0,,,17.0,335.0,
1991-02-12,,1600.0,,,,29.0,,,17.0,337.0,
1991-02-15,,1585.0,,,,30.0,,,17.0,338.0,
1991-02-19,,1585.0,,,,28.0,,,17.0,339.0,
1991-02-22,,1585.0,,,,27.0,,,18.0,339.0,
1991-02-26,,1585.0,,,,26.0,,,18.0,339.0,
1991-03-01,,1585.0,,,,26.0,,,20.0,341.0,
1991-03-05,,1500.0,,,,25.0,,,18.0,341.0,
1991-03-08,,1500.0,,,,23.0,,,20.0,341.0,
1991-03-12,,1500.0,,,,23.0,,,18.0,341.0,
1991-03-15,,1500.0,,,,22.0,,,17.0,341.0,
1991-03-19,,1500.0,,,,22.0,,,17.0,341.0,
1991-03-22,,1500.0,,,,22.0,,,17.0,341.0,
1991-03-26,,1450.0,,,,22.0,,,17.0,341.0,
1991-04-02,,1450.0,,,,22.0,,,17.0,342.0,
1991-04-05,,1450.0,,,,22.0,,,17.0,342.0,
1991-04-09,,1450.0,,,,22.0,,,17.0,342.0,
1991-04-12,,1450.0,,,,22.0,,,16.0,315.0,
