Date,ABL,AGC,AGA,AADs,ALW,AYRTN,BAT,BOPP,CAL,CFAO,CLYD,CPC,EBG,EIC,ETI,FML,GBL,GCB,GGBL,GOIL,GSR,GWEB,HFC,KBL,MGL,MLC,MOGL,PKL,PBC,PZ,SCB,SIC,SPL,SPPC,SSB,SWL,TBL,TRANSOL,UNIL,UT,CMLT
2009-01-02,0.12,,30,0.35,0.61,0.16,,1.0,0.6,0.04,0.08,0.05,4.5,3.14,0.45,4.5,,1.1,2.0,0.32,3.1,0.05,0.62,,,0.21,7.6,0.07,0.21,1.12,38.0,0.5,0.05,0.1,1.35,0.03,1.33,0.11,4.0,0.33,0.16
2009-01-05,0.12,,30,0.35,0.61,0.16,,1.0,0.6,0.04,0.08,0.05,4.5,3.14,0.45,4.5,,1.1,2.0,0.32,3.1,0.05,0.62,,,0.21,7.6,0.07,0.21,1.12,38.0,0.5,0.05,0.1,1.35,0.03,1.33,0.11,4.0,0.33,0.16
2009-01-06,0.12,,30,0.35,0.61,0.16,,1.0,0.6,0.04,0.08,0.05,4.5,3.14,0.45,4.5,,1.1,2.0,0.32,3.1,0.05,0.62,,,0.21,7.6,0.07,0.21,1.12,38.0,0.5,0.05,0.1,1.35,0.03,1.33,0.11,4.0,0.33,0.16
2009-01-07,0.12,,30,0.35,0.61,0.16,,1.0,0.6,0.04,0.08,0.05,4.5,3.14,0.45,4.5,,1.1,2.0,0.32,3.1,0.05,0.62,,,0.21,7.6,0.07,0.21,1.12,38.0,0.5,0.05,0.1,1.35,0.03,1.33,0.11,4.0,0.33,0.16
2009-01-08,0.12,,30,0.35,0.61,0.16,,1.0,0.6,0.04,0.08,0.05,4.5,3.14,0.45,4.5,,1.1,2.0,0.32,3.1,0.05,0.62,,,0.21,7.6,0.07,0.21,1.12,38.0,0.5,0.05,0.1,1.35,0.03,1.33,0.11,4.0,0.32,0.16
2009-01-09,0.12,,30,0.35,0.61,0.16,,1.0,0.6,0.04,0.08,0.05,4.5,3.14,0.45,4.5,,1.1,2.0,0.32,3.1,0.05,0.62,,,0.21,7.6,0.07,0.21,1.12,38.0,0.5,0.05,0.1,1.35,0.03,1.33,0.11,4.0,0.32,0.16
2009-01-12,0.12,,30,0.35,0.61,0.16,,1.0,0.6,0.04,0.08,0.05,4.5,3.14,0.45,4.5,,1.09,2.0,0.32,3.1,0.05,0.62,,,0.21,7.6,0.07,0.21,1.12,38.0,0.5,0.05,0.1,1.35,0.03,1.33,0.11,4.0,0.32,0.16
2009-01-13,0.12,,30,0.35,0.61,0.16,,1.0,0.6,0.04,0.08,0.05,4.5,3.1,0.45,4.5,,1.09,2.0,0.32,3.1,0.05,0.62,,,0.21,7.6,0.07,0.21,1.12,38.0,0.5,0.05,0.1,1.35,0.03,1.33,0.11,4.0,0.32,0.16
2009-01-14,0.12,,30,0.35,0.61,0.16,,1.0,0.6,0.04,0.08,0.05,4.5,3.1,0.45,4.5,,1.0,2.0,0.32,3.1,0.05,0.62,,,0.21,7.6,0.07,0.21,1.12,38.0,0.5,0.05,0.1,1.35,0.03,1.33,0.11,4.0,0.32,0.16
2009-01-15,0.12,,30,0.35,0.61,0.16,,1.0,0.6,0.04,0.08,0.05,4.5,3.1,0.45,4.5,,1.0,2.0,0.3,3.1,0.05,0.62,,,0.21,7.6,0.07,0.21,1.12,38.0,0.48,0.05,0.1,1.25,0.03,1.33,0.11,4.0,0.32,0.16
