Date,ABL,ACI,ALW,AADs,AGA,AYRTN,BOPP,CAL,CMLT,CFAO,CLYD,CPC,EGH,ETI,EGL,FML,GCB,GOIL,GSR,GWEB,GGBL,HFC,MLC,PKL,PBC,PZC,SWL,SG-SSB,SIC,SCB,SPL,TOTAL,TRANSOL,TBL ,TLW,UNIL,UTB,MAC,ADB,ACCESS
2011-01-04,0.1,0.08,0.12,0.6,34,0.16,0.75,0.33,0.16,0.02,0.07,0.02,3.0,0.14,0.51,2.45,2.7,0.29,5.2,0.05,1.56,0.41,0.1,0.07,0.13,1.2,0.02,0.64,0.43,45.16,0.05,10.0,0.07,1.33,,5.69,0.28,,,
2011-01-05,0.1,0.08,0.12,0.6,34,0.16,0.75,0.33,0.16,0.02,0.07,0.02,3.0,0.14,0.51,2.44,2.62,0.29,5.2,0.05,1.56,0.4,0.1,0.07,0.14,1.2,0.02,0.64,0.43,45.16,0.04,10.0,0.07,1.33,,5.69,0.28,,,
2011-01-06,0.1,0.08,0.12,0.6,34,0.16,0.75,0.33,0.16,0.02,0.07,0.02,3.0,0.14,0.5,2.44,2.61,0.29,5.2,0.05,1.56,0.4,0.1,0.07,0.15,1.2,0.02,0.64,0.43,45.16,0.04,10.93,0.07,1.33,,5.69,0.28,,,
2011-01-07,0.1,0.08,0.12,0.6,34,0.16,0.75,0.33,0.16,0.02,0.07,0.03,3.0,0.14,0.5,2.4,2.61,0.29,5.2,0.05,1.57,0.4,0.1,0.07,0.15,1.2,0.02,0.64,0.43,45.16,0.04,10.93,0.07,1.33,,5.69,0.28,,,
2011-01-10,0.1,0.08,0.12,0.6,34,0.16,0.75,0.33,0.16,0.02,0.07,0.03,3.0,0.15,0.5,2.4,2.61,0.28,5.2,0.05,1.57,0.38,0.1,0.07,0.17,1.2,0.02,0.6,0.44,45.16,0.04,10.93,0.07,1.33,,5.69,0.28,,,
2011-01-11,0.1,0.08,0.12,0.6,34,0.16,0.75,0.34,0.16,0.02,0.07,0.03,3.0,0.15,0.5,2.4,2.61,0.29,5.2,0.05,1.57,0.35,0.1,0.07,0.17,1.2,0.02,0.64,0.44,45.16,0.04,10.93,0.07,1.33,,5.69,0.28,,,
2011-01-12,0.1,0.08,0.12,0.6,34,0.16,0.78,0.35,0.16,0.02,0.07,0.03,3.0,0.14,0.5,2.35,2.7,0.29,5.2,0.05,1.57,0.35,0.1,0.07,0.15,1.2,0.02,0.64,0.44,45.18,0.04,10.94,0.07,1.33,,5.69,0.27,,,
2011-01-13,0.1,0.08,0.12,0.6,34,0.16,0.78,0.36,0.16,0.02,0.07,0.02,3.0,0.14,0.5,2.36,2.7,0.29,5.2,0.05,1.57,0.36,0.1,0.07,0.15,1.2,0.02,0.64,0.46,45.18,0.04,10.94,0.07,1.33,,5.69,0.27,,,
2011-01-14,0.1,0.08,0.12,0.6,34,0.16,0.78,0.38,0.16,0.03,0.07,0.02,3.01,0.14,0.5,2.39,2.7,0.29,5.2,0.05,1.56,0.36,0.1,0.07,0.17,1.2,0.02,0.6,0.47,45.18,0.04,10.94,0.07,1.33,,5.69,0.28,,,
2011-01-17,0.1,0.08,0.13,0.6,34,0.16,0.78,0.37,0.16,0.03,0.07,0.02,3.01,0.14,0.5,2.39,2.7,0.29,5.2,0.05,1.56,0.35,0.1,0.07,0.15,1.2,0.02,0.6,0.47,45.18,0.04,10.94,0.07,1.33,,5.67,0.28,,,
2011-01-18,0.1,0.08,0.13,0.6,34,0.16,0.78,0.38,0.16,0.03,0.07,0.03,3.01,0.14,0.5,2.4,2.7,0.28,5.2,0.05,1.56,0.38,0.1,0.07,0.15,1.2,0.02,0.6,0.48,45.19,0.04,10.94,0.07,1.33,,5.67,0.27,,,
2011-01-19,0.1,0.08,0.14,0.6,34,0.16,0.78,0.38,0.16,0.03,0.07,0.03,3.01,0.14,0.5,2.38,2.7,0.29,5.2,0.05,1.56,0.38,0.1,0.07,0.15,1.2,0.02,0.64,0.48,45.18,0.04,10.94,0.07,1.33,,5.73,0.27,,,
2011-01-20,0.1,0.08,0.14,0.6,34,0.16,0.8,0.39,0.16,0.03,0.07,0.03,3.02,0.14,0.5,2.4,2.71,0.29,5.2,0.05,1.56,0.38,0.1,0.07,0.15,1.2,0.02,0.64,0.49,45.25,0.04,10.94,0.07,1.33,,5.74,0.27,,,
2011-01-21,0.1,0.08,0.14,0.55,34,0.16,0.8,0.39,0.16,0.03,0.07,0.03,3.07,0.14,0.5,2.4,2.71,0.3,5.2,0.05,1.56,0.38,0.1,0.07,0.15,1.2,0.02,0.66,0.5,45.25,0.04,12.58,0.07,1.33,,5.74,0.28,,,
2011-01-24,0.1,0.08,0.14,0.55,34,0.16,0.8,0.39,0.16,0.03,0.07,0.03,3.11,0.14,0.48,2.36,2.7,0.3,5.2,0.05,1.58,0.38,0.1,0.07,0.15,1.2,0.02,0.68,0.5,45.35,0.04,12.58,0.07,1.33,,5.8,0.28,,,
2011-01-25,0.1,0.08,0.14,0.55,34,0.16,0.8,0.38,0.16,0.03,0.07,0.03,3.22,0.14,0.5,2.36,2.7,0.3,5.2,0.05,1.58,0.36,0.1,0.07,0.15,1.2,0.02,0.68,0.5,45.35,0.04,12.58,0.07,1.33,,5.82,0.25,,,
2011-01-26,0.1,0.08,0.14,0.55,34,0.16,0.8,0.39,0.16,0.03,0.07,0.03,3.24,0.14,0.5,2.36,2.7,0.3,5.2,0.05,1.58,0.37,0.1,0.07,0.15,1.2,0.02,0.68,0.5,45.36,0.04,12.58,0.07,1.33,,5.82,0.25,,,
2011-01-27,0.1,0.08,0.16,0.55,34,0.16,0.8,0.39,0.16,0.03,0.07,0.03,3.46,0.15,0.5,2.41,2.7,0.3,5.2,0.05,1.58,0.37,0.1,0.07,0.15,1.2,0.02,0.69,0.5,45.36,0.04,12.03,0.07,1.33,,5.84,0.28,,,
2011-01-28,0.1,0.08,0.18,0.55,34,0.16,0.8,0.39,0.16,0.03,0.07,0.03,3.5,0.15,0.5,2.46,2.7,0.32,5.2,0.05,1.58,0.42,0.1,0.07,0.17,1.2,0.02,0.69,0.5,45.36,0.03,12.03,0.07,1.33,,5.85,0.28,,,
2011-01-31,0.1,0.08,0.19,0.55,34,0.16,0.8,0.39,0.16,0.03,0.07,0.03,3.52,0.15,0.5,2.49,2.69,0.31,5.2,0.05,1.58,0.42,0.1,0.07,0.16,1.2,0.02,0.76,0.5,45.36,0.03,12.03,0.07,1.33,,5.86,0.27,,,
2011-02-01,0.1,0.08,0.19,0.55,34,0.16,0.8,0.39,0.16,0.03,0.07,0.02,3.52,0.14,0.5,2.5,2.68,0.32,5.2,0.05,1.58,0.39,0.1,0.07,0.18,1.2,0.02,0.74,0.49,45.76,0.03,12.61,0.07,1.33,,5.86,0.27,,,
2011-02-02,0.1,0.08,0.19,0.55,34,0.16,0.81,0.39,0.16,0.03,0.07,0.02,3.52,0.14,0.49,2.51,2.68,0.32,5.2,0.05,1.58,0.39,0.1,0.07,0.18,1.2,0.02,0.72,0.49,46.5,0.03,12.61,0.07,1.33,,5.86,0.27,,,
2011-02-03,0.1,0.08,0.21,0.55,34,0.17,0.81,0.39,0.16,0.03,0.07,0.02,3.52,0.15,0.5,2.53,2.68,0.32,5.2,0.05,1.57,0.38,0.1,0.07,0.18,1.2,0.02,0.71,0.48,46.61,0.03,12.67,0.07,1.33,,5.86,0.27,,,
2011-02-04,0.1,0.08,0.21,0.55,34,0.17,0.81,0.39,0.16,0.03,0.07,0.02,3.52,0.15,0.49,2.5,2.68,0.33,5.2,0.05,1.57,0.39,0.1,0.07,0.18,1.2,0.02,0.71,0.48,46.61,0.04,12.67,0.07,1.33,,5.87,0.27,,,
