Date,ABL,ACI,ALW,AADs,AGA,AYRTN,BOPP,CAL,CMLT,CFAO,CLYD,CPC,EGH,ETI,EGL,FML,GCB,GOIL,GSR,GWEB,GGBL,HFC,MLC,PKL,PBC,PZC,SWL,SG-SSB,SIC,SCB,SPL,TOTAL,TRANSOL,TBL ,TLW,UNIL,UTB,MAC,ADB,ACCESS,MTN
2017-01-03,,0.01,0.14,0.52,37,0.12,2.08,0.76,0.12,,0.03,0.02,6.5,0.1,2.4,11.2,3.6,1.1,1.95,0.01,1.63,0.75,0.15,0.05,0.06,0.22,0.04,0.62,0.12,12.21,0.03,2.0,0.03,0.26,26.88,8.51,0.03,6.0,3.83,4.1,
2017-01-04,,0.01,0.14,0.52,37,0.12,2.08,0.78,0.12,,0.03,0.02,6.5,0.1,2.4,11.2,3.61,1.1,1.95,0.01,1.63,0.75,0.15,0.05,0.06,0.22,0.04,0.66,0.13,12.21,0.03,2.0,0.03,0.26,26.88,8.51,0.03,6.0,3.83,4.1,
2017-01-05,,0.01,0.14,0.52,37,0.1,2.08,0.78,0.12,,0.03,0.02,6.5,0.1,2.4,11.2,3.62,1.12,1.95,0.01,1.6,0.75,0.15,0.05,0.06,0.22,0.04,0.66,0.13,12.26,0.03,2.0,0.03,0.26,26.88,8.51,0.03,6.0,3.83,4.1,
2017-01-06,,0.01,0.15,0.52,37,0.1,2.08,0.77,0.12,,0.03,0.02,6.5,0.1,2.4,11.2,3.63,1.12,1.95,0.01,1.5,0.75,0.15,0.05,0.06,0.2,0.04,0.66,0.13,12.3,0.03,2.02,0.03,0.26,26.88,8.51,0.03,6.0,3.83,4.1,
2017-01-09,,0.01,0.15,0.52,37,0.1,2.08,0.76,0.12,,0.03,0.02,6.5,0.1,2.4,11.2,3.65,1.12,1.95,0.01,1.5,0.75,0.15,0.05,0.06,0.2,0.04,0.66,0.13,12.3,0.03,2.02,0.03,0.26,26.88,8.51,0.03,6.0,3.83,4.1,
2017-01-10,,0.01,0.15,0.52,37,0.1,2.08,0.76,0.12,,0.03,0.02,6.51,0.11,2.4,11.2,3.66,1.12,1.95,0.01,1.5,0.75,0.15,0.05,0.06,0.2,0.04,0.66,0.13,12.34,0.03,2.02,0.03,0.26,26.88,8.51,0.03,6.0,3.83,4.1,
2017-01-11,,0.01,0.15,0.52,37,0.1,2.08,0.76,0.12,,0.03,0.02,6.85,0.11,2.4,11.2,3.66,1.12,1.95,0.01,1.5,0.75,0.15,0.05,0.06,0.2,0.04,0.66,0.13,12.3,0.03,2.04,0.03,0.26,26.88,8.51,0.03,6.0,3.83,4.1,
2017-01-12,,0.01,0.15,0.52,37,0.1,2.08,0.76,0.12,,0.03,0.02,6.85,0.12,2.4,11.2,3.66,1.12,1.95,0.01,1.5,0.75,0.15,0.05,0.06,0.2,0.04,0.66,0.13,12.3,0.03,2.04,0.03,0.26,26.88,8.51,0.03,6.0,3.83,4.1,
2017-01-13,,0.01,0.15,0.52,37,0.1,2.08,0.76,0.12,,0.03,0.02,6.85,0.13,2.4,11.2,3.67,1.12,1.95,0.01,1.5,0.75,0.15,0.05,0.06,0.2,0.04,0.66,0.13,12.3,0.03,2.04,0.03,0.26,26.88,8.51,0.03,6.0,3.83,4.1,
2017-01-16,,0.01,0.14,0.52,37,0.1,2.08,0.75,0.12,,0.03,0.01,6.85,0.13,2.4,11.2,3.67,1.12,1.95,0.01,1.5,0.75,0.15,0.05,0.06,0.2,0.04,0.66,0.13,12.31,0.03,2.1,0.03,0.26,26.88,8.51,0.03,6.0,3.83,4.1,
